groupid,url,title,review_id,sentence_id,text,label_Viktorija,label_Lucija,label_Ana,label_Katja,label_final_Goran,,,,,,,,,,,,,,,,
2,https://najdoktor.com/ana-dekovic/d14212,Ana Deković,1,1,Doktorica je takva da svaki put nakon pregleda bi se zapitala ko joj je da diplomu.,Negative,Negative,Negative,Negative,Negative,,,,,,,,,,,,,,,,
2,https://najdoktor.com/ana-dekovic/d14212,Ana Deković,1,2,"Dosla sam radi bolova u donjem dijelu trbuha, ona mi kaze da bi ONA bila najsritnija da rodim, ja kazem da ja nebi, onda su rješenje pilule koje sam isto odbila.",Negative,Negative,Negative,Negative,Negative,Fleiss' Kappa: 0.8278,,,,,,,,,,,,,,,
2,https://najdoktor.com/ana-dekovic/d14212,Ana Deković,1,3,"""Ne zelis rodit, ne zelis pilule, pa sta onda oces?""",Sarcasm,Neutral,Sarcasm,Sarcasm,Sarcasm,,,,,,,,,,,,,,,,
2,https://najdoktor.com/ana-dekovic/d14212,Ana Deković,1,4,Nac uzrok problema draga doktorice!,Mixed,Sarcasm,Sarcasm,Mixed,Sarcasm,,,,,,,,,,,,,,,,
2,https://najdoktor.com/ana-dekovic/d14212,Ana Deković,1,5,Obavila mi je ultrazvuk koji brat bratu nije traja niti 2 minute.,Mixed,Negative,Negative,Negative,Negative,,,,,,,,,,,,,,,,
2,https://najdoktor.com/ana-dekovic/d14212,Ana Deković,1,6,"Dva dana nakon zavrsila sam na hitnoj di sam saznala da imam upalu mjehura koja mi je prosla nezapazeno zadnjih par mjeseci jer bi mi se bolovi pogorsavali sa menstrualnim ciklusom, a dr Dekovic bi da rodim ili idem na pilule bez ikakvih pretraga iako ni ne zna od cega me boli niti je voljna saznati",Mixed,Negative,Negative,Negative,Negative,,,,,,,,,,,,,,,,
2,https://najdoktor.com/ana-dekovic/d14212,Ana Deković,1,7,Odakle vam diploma?,Negative,Negative,Sarcasm,Negative,Negative,,,,,,,,,,,,,,,,
2,https://najdoktor.com/ana-dekovic/d14212,Ana Deković,1,8,"Bezobrazna, prica s visoka, nit je nju briga za njen posao, za pacijente jos manje.",Negative,Negative,Negative,Negative,Negative,,,,,,,,,,,,,,,,
2,https://najdoktor.com/ana-dekovic/d14212,Ana Deković,1,9,Grozno!,Negative,Negative,Negative,Negative,Negative,,,,,,,,,,,,,,,,
2,https://najdoktor.com/ana-dekovic/d14212,Ana Deković,1,10,"Narucit se na pregled moze samo ponedjeljkom između 13 i 30 i 15h, ako zoves iti 5 min van tog termina, samo ti kaze med. sestra da se javis iduci tjedan",Neutral,Negative,Negative,Negative,Negative,,,,,,,,,,,,,,,,
2,https://najdoktor.com/ana-dekovic/d14212,Ana Deković,1,11,"Za pregled se ceka red po 3 miseca, i onda opet kad dođes cekas minimalno uru vrimena da bi te docekala dr takva kakva je",Negative,Negative,Negative,Negative,Negative,,,,,,,,,,,,,,,,
2,https://najdoktor.com/ana-dekovic/d14212,Ana Deković,1,12,UZAS,Negative,Negative,Negative,Negative,Negative,,,,,,,,,,,,,,,,
2,https://najdoktor.com/ana-dekovic/d14212,Ana Deković,2,1,Najnegativnije iskustvo ginekologa,Negative,Negative,Negative,Negative,Negative,,,,,,,,,,,,,,,,
2,https://najdoktor.com/ana-dekovic/d14212,Ana Deković,2,2,Doktorica je bila moj prvi ginekolog s 18 godina,Neutral,Neutral,Neutral,Neutral,Neutral,,,,,,,,,,,,,,,,
2,https://najdoktor.com/ana-dekovic/d14212,Ana Deković,2,3,Na pregledu me pitala “imam li 50 kn za ultrazvuk”,Neutral,Neutral,Neutral,Neutral,Neutral,,,,,,,,,,,,,,,,
2,https://najdoktor.com/ana-dekovic/d14212,Ana Deković,2,4,"Bila sam u soku jer sam znala da iman primarno i dopunsko zdravstveno, ali s obzirom da mi je bio prvi pregled dala sam joj novce, naravno bez racuna",Mixed,Negative,Neutral,Negative,Negative,,,,,,,,,,,,,,,,
2,https://najdoktor.com/ana-dekovic/d14212,Ana Deković,2,5,Kasnije sam saznala da to ni pod razno nije smijela napraviti,Negative,Neutral,Neutral,Neutral,Neutral,,,,,,,,,,,,,,,,
2,https://najdoktor.com/ana-dekovic/d14212,Ana Deković,2,6,"Poslije sam imala nekakve probleme i bolove no nitko se nikada nije javljao na telefon a kada bi ih dobila nakon dana i dana pozivanja, oni bi mi rekli da dodem na pregled za mjesec ipo dana( dok je meni vec danas zbog bolova bilo kasno)",Negative,Negative,Negative,Negative,Negative,,,,,,,,,,,,,,,,
2,https://najdoktor.com/ana-dekovic/d14212,Ana Deković,2,7,"Doktorica i sestra su bilo toliko neljubazne, arogantne i nepristupacne da su mi prve preglede ucinili nocnom morom",Negative,Negative,Negative,Negative,Negative,,,,,,,,,,,,,,,,
2,https://najdoktor.com/ana-dekovic/d14212,Ana Deković,2,8,Na srecu cim sam dobila priliku sam se prebacila u druge ginekologice radi koje neman vise traume koje mi je dr dekovic napravila,Negative,Negative,Mixed,Negative,Negative,,,,,,,,,,,,,,,,
2,https://najdoktor.com/ana-dekovic/d14212,Ana Deković,2,9,Za ovakav nacin poslovanja po meni bi trebalo uzeti licencu,Negative,Negative,Negative,Negative,Negative,,,,,,,,,,,,,,,,
2,https://najdoktor.com/ana-dekovic/d14212,Ana Deković,2,10,Nikad negativnije iskustvo kod ikojeg lijecnika,Negative,Negative,Negative,Negative,Negative,,,,,,,,,,,,,,,,
2,https://najdoktor.com/ana-dekovic/d14212,Ana Deković,3,1,"Partnerica se htjela naručiti na redovni ginekološki pregled nakon poroda, a sestra Mirjana na telefon kaže da ne može ugovoriti termin jer su puni do kraja veljače, već da ih nazove početkom ožujka za dodijelu termina pregleda i još se pozove da joj je takvu uputu dala sama dr Deković",Negative,Negative,Neutral,Negative,Negative,,,,,,,,,,,,,,,,
